team,abbr,league,wins,losses,pct
Chi Cubs,CHC,C,19,13,0.594
Milwaukee,MIL,C,19,14,0.576
Kansas City,KAN,C,18,12,0.6
San Diego,SDG,C,18,11,0.621
Cleveland,CLE,C,17,14,0.548
LA Angels,LAA,C,15,16,0.484
Colorado,COL,C,14,15,0.483
LA Dodgers,LAD,C,14,15,0.483
Oakland,OAK,C,14,8,0.636
San Francisco,SFG,C,13,16,0.448
Texas,TEX,C,13,17,0.433
Arizona,ARI,C,12,18,0.4
Chi White Sox,CHW,C,12,17,0.414
Seattle,SEA,C,10,11,0.476
Cincinnati,CIN,C,8,19,0.296
Houston,HOU,G,18,12,0.6
NY Yankees,NYY,G,17,10,0.63
Washington,WAS,G,17,12,0.586
Atlanta,ATL,G,16,16,0.5
Detroit,DET,G,15,15,0.5
Miami,MIA,G,15,13,0.536
Pittsburgh,PIT,G,15,15,0.5
Minnesota,MIN,G,14,13,0.519
Philadelphia,PHI,G,14,14,0.5
Toronto,TOR,G,14,15,0.483
NY Mets,NYM,G,13,16,0.448
Tampa Bay,TAM,G,13,17,0.433
Baltimore,BAL,G,12,17,0.414
Boston,BOS,G,12,17,0.414
St. Louis,STL,G,12,15,0.444
